dbName; idRun; tableORqueryName; nbJoinFD; algoName; totalTime (s); maxMem (Mo); algo1Time (s); algo2Time (s); algo3Time (s); nbUpstagedFDs; nbInferFDs; nbMinedFDs
MIMIC3; 5; "patients|X|admissions"; 16; InFine; 0.281; 35; 0; 0; 0.031; 9; 0; 7
MIMIC3; 6; "patients|X|admissions"; 16; InFine; 0.25; 36; 0.015; 0; 0.015; 9; 0; 7
MIMIC3; 7; "patients|X|admissions"; 16; InFine; 0.265; 34; 0; 0; 0.015; 9; 0; 7
MIMIC3; 8; "patients|X|admissions"; 16; InFine; 0.234; 38; 0; 0; 0.015; 9; 0; 7
MIMIC3; 9; "patients|X|admissions"; 16; InFine; 0.25; 33; 0; 0; 0.031; 9; 0; 7
MIMIC3; 10; "patients|X|admissions"; 16; InFine; 0.265; 37; 0; 0; 0.031; 9; 0; 7
TPCH; 1; "Q2"; 69; InFine; 0.14; 21; 0; 0; 0.015; 41; 6; 22
TPCH; 2; "Q2"; 69; InFine; 0.14; 20; 0; 0; 0.015; 41; 6; 22
TPCH; 3; "Q2"; 69; InFine; 0.14; 19; 0; 0; 0.015; 41; 6; 22
TPCH; 4; "Q2"; 69; InFine; 0.14; 20; 0; 0; 0.015; 41; 6; 22
TPCH; 5; "Q2"; 69; InFine; 0.14; 17; 0; 0; 0.015; 41; 6; 22
TPCH; 6; "Q2"; 69; InFine; 0.156; 16; 0.015; 0; 0; 41; 6; 22
TPCH; 7; "Q2"; 69; InFine; 0.156; 17; 0.015; 0; 0.015; 41; 6; 22
TPCH; 8; "Q2"; 69; InFine; 0.156; 18; 0.015; 0; 0.015; 41; 6; 22
TPCH; 9; "Q2"; 69; InFine; 0.14; 17; 0; 0; 0; 41; 6; 22
TPCH; 10; "Q2"; 69; InFine; 0.156; 18; 0; 0; 0.015; 41; 6; 22
TPCH; 1; "Q3"; 14; InFine; 13.265; 777; 0; 0; 0.015; 6; 0; 8
TPCH; 2; "Q3"; 14; InFine; 13.062; 897; 0; 0; 0.031; 6; 0; 8
TPCH; 3; "Q3"; 14; InFine; 13.093; 873; 0; 0; 0.031; 6; 0; 8
TPCH; 4; "Q3"; 14; InFine; 13.093; 871; 0; 0; 0.015; 6; 0; 8
